City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
108,Faanui,-16.4833,-151.75,78.53,72,11,25.28,PF,few clouds
109,Mar Del Plata,-38.0023,-57.5575,57.09,81,0,12.66,AR,clear sky
110,Presidencia Roque Saenz Pena,-26.7852,-60.4388,73.33,27,0,12.24,AR,clear sky
111,Cherskiy,68.75,161.3,27.03,62,7,8.48,RU,clear sky
112,Thompson,55.7435,-97.8558,46.56,66,40,2.3,CA,scattered clouds
113,Lorengau,-2.0226,147.2712,84.65,73,100,11.27,PG,overcast clouds
114,Dingle,10.9995,122.6711,83.62,77,100,7.29,PH,overcast clouds
115,Poum,-20.2333,164.0167,73.69,62,16,6.6,NC,few clouds
116,Tlacojalpan,18.2333,-95.95,74.12,90,24,5.88,MX,few clouds
117,Udachnyy,66.4167,112.4,28.45,86,100,13.4,RU,overcast clouds
118,Acapulco,16.8634,-99.8901,80.26,82,6,5.03,MX,clear sky
119,Port Hedland,-20.3167,118.5667,80.65,54,0,8.05,AU,clear sky
120,Stornoway,58.2093,-6.3865,50.04,87,75,16.11,GB,broken clouds
121,Salalah,17.0151,54.0924,77.09,83,0,4.61,OM,clear sky
122,Hinton,53.4001,-117.5857,58.57,66,100,4.54,CA,overcast clouds
123,Port Shepstone,-30.7414,30.455,66.76,78,100,14.79,ZA,overcast clouds
124,Ulladulla,-35.35,150.4667,56.3,83,100,13.73,AU,light rain
125,Bluff,-46.6,168.3333,39.79,68,95,29.62,NZ,overcast clouds
126,Svetlogorsk,52.6333,29.7333,44.42,89,97,12.55,BY,overcast clouds
127,Tual,-5.6667,132.75,83.01,74,81,10.29,ID,broken clouds
128,Hobyo,5.3505,48.5268,76.44,89,100,13.22,SO,overcast clouds
129,Souillac,-20.5167,57.5167,68.38,83,40,4.61,MU,scattered clouds
130,Coihaique,-45.5752,-72.0662,47.01,76,100,2.3,CL,light rain
131,Qazvin,36.2797,50.0049,69.67,16,0,4.03,IR,clear sky
132,Myitkyina,25.3833,97.4,73.36,99,100,1.74,MM,overcast clouds
133,Pevek,69.7008,170.3133,27.43,76,86,7.7,RU,overcast clouds
134,Upernavik,72.7868,-56.1549,19.94,81,78,5.26,GL,broken clouds
135,Tawau,4.2498,117.8871,82.53,78,100,5.01,MY,overcast clouds
136,Brownsville,25.9018,-97.4975,80.6,62,0,6.91,US,clear sky
137,Mezhdurechensk,53.6942,88.0603,32.05,76,100,3.02,RU,overcast clouds
138,Sunland Park,31.7965,-106.58,81.05,40,20,6.91,US,few clouds
139,Road Town,18.4167,-64.6167,82.49,89,40,6.91,VG,scattered clouds
140,Patu,-6.11,-37.6367,77.61,61,7,4.68,BR,clear sky
141,Tazovskiy,67.4667,78.7,35.19,97,100,18.79,RU,light snow
142,Victoria,22.2855,114.1577,89.19,82,42,5.99,HK,scattered clouds
143,Arraial Do Cabo,-22.9661,-42.0278,71.46,78,75,5.75,BR,broken clouds
144,Sobolevo,54.4299,31.8996,43.27,92,100,11.72,RU,overcast clouds
145,Gediz,39.0417,29.41,47.5,90,14,6.51,TR,few clouds
146,Georgetown,5.4112,100.3354,80.89,95,20,0.0,MY,few clouds
147,Innisfail,-17.5333,146.0333,78.53,69,99,10.27,AU,overcast clouds
148,Tanta,30.7885,31.0019,68.13,79,0,3.74,EG,clear sky
149,Umm Lajj,25.0213,37.2685,84.38,50,0,7.09,SA,clear sky
150,Faya,18.3851,42.4509,63.12,28,17,7.43,SA,few clouds
151,La Ronge,55.1001,-105.2842,61.05,51,40,4.61,CA,smoke
152,Mahibadhoo,3.7833,72.9667,81.88,77,100,16.28,MV,overcast clouds
153,Nikolskoye,59.7035,30.7861,44.8,96,79,3.06,RU,light rain
154,Sokyryany,48.4475,27.4168,50.22,76,100,13.38,UA,overcast clouds
155,Lata,40.1629,-8.3327,57.92,68,0,1.92,PT,clear sky
156,Hit,33.6416,42.8251,79.45,19,0,5.23,IQ,clear sky
157,Palmer,42.1584,-72.3287,55.24,81,100,11.5,US,overcast clouds
158,Payson,40.0444,-111.7321,71.08,38,0,5.75,US,clear sky
159,Clyde River,70.4692,-68.5914,26.83,80,100,16.11,CA,overcast clouds
160,Ochakiv,46.6128,31.5498,53.98,70,49,12.15,UA,scattered clouds
161,Brodokalmak,55.5748,62.082,47.3,49,98,8.72,RU,overcast clouds
162,Hualmay,-11.0964,-77.6139,61.16,79,22,10.74,PE,few clouds
163,San Patricio,28.017,-97.5169,80.46,54,8,8.93,US,clear sky
164,Bueno Brandao,-22.4408,-46.3508,59.16,90,0,2.68,BR,clear sky
165,Ushtobe,45.2514,77.9838,42.24,29,28,9.31,KZ,scattered clouds
166,Cody,44.5263,-109.0565,62.82,55,0,8.05,US,clear sky
167,Hambantota,6.1241,81.1185,77.34,94,40,6.91,LK,scattered clouds
